company_name,exchange,year,text_excerpt,label
Lattice Cloud,NASDAQ,2021,"We report Scope 1, Scope 2, and Scope 3 greenhouse gas emissions for 2021. Category screening and data sources are described with assumptions and limitations. The disclosures underwent limited assurance by an independent provider. Boundaries and methods align to the GHG Protocol including location- and market-based electricity. Scope 3 coverage includes purchased goods and services, business travel, waste and use of sold products.",1
Meridian Shipping,LSE,2021,We disclose Scope 1 and Scope 2 greenhouse gas emissions for 2021. The organizational boundary is consistent with prior reporting years. We plan to expand reporting to Scope 3 in future years following supplier engagement. Methodologies follow the GHG Protocol for direct and energy indirect emissions.,0
Cascade Water,ASX,2020,"We report Scope 1, Scope 2, and Scope 3 greenhouse gas emissions for 2020. Scope 3 coverage includes purchased goods and services, business travel, waste and use of sold products. Scope 3 coverage includes purchased goods and services, business travel, waste and use of sold products. Boundaries and methods align to the GHG Protocol including location- and market-based electricity.",1
Cascade Water,ASX,2024,We disclose Scope 1 and Scope 2 greenhouse gas emissions for 2024. We plan to expand reporting to Scope 3 in future years following supplier engagement. The organizational boundary is consistent with prior reporting years. Methodologies follow the GHG Protocol for direct and energy indirect emissions.,0
Pioneer Airlines,LSE,2025,"We report Scope 1, Scope 2, and Scope 3 greenhouse gas emissions for 2025. The disclosures underwent limited assurance by an independent provider. Scope 3 coverage includes purchased goods and services, business travel, waste and use of sold products. Boundaries and methods align to the GHG Protocol including location- and market-based electricity.",1
Borealis Telecom,NYSE,2023,We disclose Scope 1 and Scope 2 greenhouse gas emissions for 2023. We plan to expand reporting to Scope 3 in future years following supplier engagement. Scope 3 data collection is ongoing and not included for the current reporting cycle. Methodologies follow the GHG Protocol for direct and energy indirect emissions.,0
Quanta Fintech,NASDAQ,2022,"We report Scope 1, Scope 2, and Scope 3 greenhouse gas emissions for 2022. The disclosures underwent limited assurance by an independent provider. Scope 3 coverage includes purchased goods and services, business travel, waste and use of sold products. The disclosures underwent limited assurance by an independent provider.",1
Evergreen Foods,NYSE,2023,We disclose Scope 1 and Scope 2 greenhouse gas emissions for 2023. The organizational boundary is consistent with prior reporting years. Scope 3 data collection is ongoing and not included for the current reporting cycle. The organizational boundary is consistent with prior reporting years. We plan to expand reporting to Scope 3 in future years following supplier engagement.,0
Indigo Ports,NSE,2020,"We report Scope 1, Scope 2, and Scope 3 greenhouse gas emissions for 2020. Boundaries and methods align to the GHG Protocol including location- and market-based electricity. Category screening and data sources are described with assumptions and limitations. Category screening and data sources are described with assumptions and limitations.",1
Aether Energy Ltd,LSE,2022,We disclose Scope 1 and Scope 2 greenhouse gas emissions for 2022. We plan to expand reporting to Scope 3 in future years following supplier engagement. Scope 3 data collection is ongoing and not included for the current reporting cycle. The organizational boundary is consistent with prior reporting years. We plan to expand reporting to Scope 3 in future years following supplier engagement.,0
